ID,Brand,Price,Image,Length,Width,Height,Seller,ProductLink
0,IDÅSEN,$599.00 ,https://www.ikea.com/PIAimages/0734938_PE739672_S5.JPG?f=s,"63 ""","31 1/2 ""","50 """,IKEA,https://www.ikea.com/us/en/p/idasen-desk-sit-stand-black-beige-s09280987/
18,BEKANT,$579.00 ,https://www.ikea.com/PIAimages/0734904_PE739645_S5.JPG?f=s,"63 ""","43 1/4 ""","48 """,IKEA,https://www.ikea.com/us/en/p/bekant-corner-desk-left-sit-stand-white-stained-oak-veneer-white-s69282304/
25,BEKANT,$579.00 ,https://www.ikea.com/PIAimages/0734912_PE739651_S5.JPG?f=s,"63 ""","43 1/4 ""","48 """,IKEA,https://www.ikea.com/us/en/p/bekant-corner-desk-right-sit-stand-black-stained-ash-veneer-black-s79282389/
28,BEKANT,$479.00 ,https://www.ikea.com/PIAimages/0734920_PE739656_S5.JPG?f=s,"63 ""","31 1/2 ""","48 """,IKEA,https://www.ikea.com/us/en/p/bekant-desk-sit-stand-white-stained-oak-veneer-white-s99282086/
16,HEMNES,$449.00 ,https://www.ikea.com/PIAimages/0528601_PE645873_S5.JPG?f=s,"25 5/8 ""","61 ""","53 7/8 """,IKEA,https://www.ikea.com/us/en/p/hemnes-desk-with-add-on-unit-gray-s49227587/
13,BEKANT,$429.00 ,https://www.ikea.com/PIAimages/0734921_PE739657_S5.JPG?f=s,"47 1/4 ""","31 1/2 ""","48 """,IKEA,https://www.ikea.com/us/en/p/bekant-desk-sit-stand-black-stained-ash-veneer-black-s29282221/
10,IDÅSEN,$299.00 ,https://www.ikea.com/PIAimages/0736572_PE740626_S5.JPG?f=s,"63 ""","31 1/2 ""","31 1/8 """,IKEA,https://www.ikea.com/us/en/p/idasen-desk-brown-dark-gray-s99281039/
26,HEMNES,$299.00 ,https://www.ikea.com/PIAimages/0526711_PE645112_S5.JPG?f=s,"25 5/8 ""","61 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/hemnes-desk-dark-gray-gray-stained-30381729/
31,FREDDE,$299.00 ,https://www.ikea.com/PIAimages/0736008_PE740351_S5.JPG?f=s,"29 1/8 ""","72 7/8 ""","57 1/2 """,IKEA,https://www.ikea.com/us/en/p/fredde-desk-black-50219044/
29,SKARSTA,$279.00 ,https://www.ikea.com/PIAimages/0324865_PE518142_S5.JPG?f=s,"63 ""","31 1/2 ""","47 1/4 """,IKEA,https://www.ikea.com/us/en/p/skarsta-desk-sit-stand-white-s29084966/
23,SKARSTA,$249.00 ,https://www.ikea.com/PIAimages/0324864_PE518141_S5.JPG?f=s,"47 1/4 ""","27 1/2 ""","47 1/4 """,IKEA,https://www.ikea.com/us/en/p/skarsta-desk-sit-stand-white-s49084965/
24,BEKANT,$229.00 ,https://www.ikea.com/PIAimages/0736414_PE740529_S4.JPG?f=s,"63 ""","31 1/2 ""","33 1/2 """,IKEA,https://www.ikea.com/us/en/p/bekant-desk-black-stained-ash-veneer-black-s69282592/
2,BEKANT,$199.00 ,https://www.ikea.com/PIAimages/0736412_PE740539_S4.JPG?f=s,"55 1/8 ""","23 5/8 ""","33 1/2 """,IKEA,https://www.ikea.com/us/en/p/bekant-desk-white-stained-oak-veneer-white-s49282668/
3,HEMNES,$199.00 ,https://www.ikea.com/PIAimages/0461352_PE607513_S5.JPG?f=s,"21 5/8 ""","47 1/4 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/hemnes-desk-black-brown-40339792/
8,ARKELSTORP,$199.00 ,https://www.ikea.com/PIAimages/0735967_PE740301_S5.JPG?f=s,"27 1/2 ""","55 1/8 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/arkelstorp-desk-black-10354128/
35,BESTÅ BURS,$199.00 ,https://www.ikea.com/PIAimages/0735968_PE740302_S5.JPG?f=s,"15 3/4 ""","47 1/4 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/besta-burs-desk-high-gloss-white-70245339/
15,BEKANT,$179.00 ,https://www.ikea.com/PIAimages/0736382_PE740511_S5.JPG?f=s,"47 1/4 ""","31 1/2 ""","33 1/2 """,IKEA,https://www.ikea.com/us/en/p/bekant-desk-black-stained-ash-veneer-black-s59282583/
20,MALM,$179.00 ,https://www.ikea.com/PIAimages/0735973_PE740307_S5.JPG?f=s,"25 5/8 ""","55 1/8 ""","28 3/4 """,IKEA,https://www.ikea.com/us/en/p/malm-desk-black-brown-00214157/
21,MALM,$179.00 ,https://www.ikea.com/PIAimages/0735977_PE740311_S5.JPG?f=s,"25 5/8 ""","59 1/2 ""","28 3/4 """,IKEA,https://www.ikea.com/us/en/p/malm-desk-with-pull-out-panel-black-brown-60214183/
27,LILLÅSEN,$179.00 ,https://www.ikea.com/PIAimages/0736017_PE740344_S5.JPG?f=s,"2 3/8 ""","9 ""","2 3/8 """,IKEA,https://www.ikea.com/us/en/p/lillasen-desk-bamboo-90278277/
30,HEMNES,$169.00 ,https://www.ikea.com/PIAimages/0736012_PE740339_S5.JPG?f=s,"18 1/2 ""","47 1/4 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/hemnes-desk-with-2-drawers-white-stain-90363223/
4,KNOTTEN,$159.00 ,https://www.ikea.com/PIAimages/0736002_PE740331_S5.JPG?f=s,"18 7/8 ""","24 3/8 ""","41 3/8 """,IKEA,https://www.ikea.com/us/en/p/knotten-standing-desk-white-birch-30299485/
1,ALEX,$149.00 ,https://www.ikea.com/PIAimages/0614623_PE686975_S5.JPG?f=s,"23 5/8 ""","51 5/8 ""","29 7/8 """,IKEA,https://www.ikea.com/us/en/p/alex-desk-beige-30409629/
14,LISABO,$149.00 ,https://www.ikea.com/PIAimages/0735972_PE740306_S5.JPG?f=s,"17 3/4 ""","46 1/2 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/lisabo-desk-ash-veneer-30299070/
