,Brand,Price,Image,Length,Width,Height,Seller,ProductLink
0,SÖDERHAMN,$459.00,https://www.ikea.com/PIAimages/0666135_PE713424_S5.JPG?f=s,"39 ""","75 5/8 ""","5 1/2 """,IKEA,https://www.ikea.com/us/en/p/soederhamn-sofa-with-open-end-finnsta-turquoise-s59282856/
1,LANDSKRONA,$979.00,https://www.ikea.com/PIAimages/0602368_PE680306_S5.JPG?f=s,"62 1/4 ""","95 1/4 ""","30 3/4 """,IKEA,https://www.ikea.com/us/en/p/landskrona-sofa-with-chaise-gunnared-dark-gray-wood-s79272663/
2,SÖDERHAMN,$699.00,https://www.ikea.com/PIAimages/0406305_PE583243_S5.JPG?f=s,"39 ""","78 ""","5 1/2 """,IKEA,https://www.ikea.com/us/en/p/soederhamn-sofa-finnsta-turquoise-s99135948/
3,KIVIK,$599.00,https://www.ikea.com/PIAimages/0249491_PE387762_S5.JPG?f=s,"37 3/8 ""","98 3/8 ""","34 1/4 """,IKEA,https://www.ikea.com/us/en/p/kivik-3-5-seat-sofa-orrsta-light-gray-s69239546/
4,SÖDERHAMN,$599.00,https://www.ikea.com/PIAimages/0406306_PE583244_S5.JPG?f=s,"39 ""","73 1/4 ""","32 5/8 """,IKEA,https://www.ikea.com/us/en/p/soederhamn-sofa-section-finnsta-turquoise-s09135943/
5,KNOPPARP,$149.00,https://www.ikea.com/PIAimages/0713945_PE729859_S5.JPG?f=s,"29 7/8 ""","68 1/2 ""","8 1/4 """,IKEA,https://www.ikea.com/us/en/p/knopparp-sofa-knisa-light-gray-20424625/
6,VALLENTUNA,"$1,375.00",https://www.ikea.com/PIAimages/0624021_PE691595_S5.JPG?f=s,"36 5/8 ""","76 ""","33 1/8 """,IKEA,https://www.ikea.com/us/en/p/vallentuna-modular-corner-sofa-3-seat-with-storage-orrsta-light-gray-s19277965/
7,KIVIK,$599.00,https://www.ikea.com/PIAimages/0463025_PE609600_S5.JPG?f=s,"37 3/8 ""","89 3/4 ""","32 5/8 """,IKEA,https://www.ikea.com/us/en/p/kivik-sofa-borred-gray-green-s59184035/
8,FÄRLÖV,"$1,799.00",https://www.ikea.com/PIAimages/0479726_PE619089_S5.JPG?f=s,"41 3/4 ""","91 ""","5 7/8 """,IKEA,https://www.ikea.com/us/en/p/faerloev-sectional-5-seat-sofa-right-djuparp-dark-gray-s39192705/
9,VIMLE,$699.00,https://www.ikea.com/PIAimages/0725530_PE734922_S5.JPG?f=s,"64 5/8 ""","99 1/4 ""","31 1/2 """,IKEA,https://www.ikea.com/us/en/p/vimle-sofa-with-chaise-dalstorp-multicolor-s79299484/
10,VIMLE,$499.00,https://www.ikea.com/PIAimages/0725527_PE734920_S5.JPG?f=s,"38 5/8 ""","94 7/8 ""","31 1/2 """,IKEA,https://www.ikea.com/us/en/p/vimle-sofa-dalstorp-multicolor-s59298777/
11,VIMLE,$714.00,https://www.ikea.com/PIAimages/0725522_PE734912_S5.JPG?f=s,"64 5/8 ""","99 1/4 ""","39 3/8 """,IKEA,https://www.ikea.com/us/en/p/vimle-sofa-with-chaise-with-headrest-dalstorp-multicolor-s29298750/
12,VIMLE,$514.00,https://www.ikea.com/PIAimages/0725525_PE734916_S5.JPG?f=s,"38 5/8 ""","94 7/8 ""","39 3/8 """,IKEA,https://www.ikea.com/us/en/p/vimle-sofa-with-headrest-dalstorp-multicolor-s59298744/
13,KIVIK,$849.00,https://www.ikea.com/PIAimages/0479956_PE619108_S5.JPG?f=s,"64 1/8 ""","110 1/4 ""","32 5/8 """,IKEA,https://www.ikea.com/us/en/p/kivik-sofa-hillared-with-chaise-hillared-anthracite-s69193666/
14,KARLSTAD,$399.00,https://www.ikea.com/PIAimages/0404895_PE577343_S5.JPG?f=s,"36 5/8 ""","80 3/4 ""","31 1/2 """,IKEA,https://www.ikea.com/us/en/p/karlstad-sofa-knisa-light-gray-s39132702/
15,KNISLINGE,$349.00,https://www.ikea.com/PIAimages/0340648_PE528031_S5.JPG?f=s,"35 ""","80 3/4 ""","37 """,IKEA,https://www.ikea.com/us/en/p/knislinge-sofa-idhult-black-80278923/
16,LANDSKRONA,$599.00,https://www.ikea.com/PIAimages/0602117_PE680186_S5.JPG?f=s,"35 ""","80 3/8 ""","30 3/4 """,IKEA,https://www.ikea.com/us/en/p/landskrona-sofa-gunnared-dark-gray-wood-s99270314/
17,EKTORP,$649.00,https://www.ikea.com/PIAimages/0583615_PE671275_S5.JPG?f=s,"38 1/4 ""","98 ""","38 5/8 """,IKEA,https://www.ikea.com/us/en/p/ektorp-3-5-seat-sofa-vittaryd-white-s79250406/
18,FRÖSLÖV,$799.00,https://www.ikea.com/PIAimages/0628562_PE693904_S5.JPG?f=s,"38 5/8 ""","89 3/8 ""","5 1/8 """,IKEA,https://www.ikea.com/us/en/p/froesloev-sofa-nordvalla-gray-dark-gray-medium-gray-80398609/
19,LINDOME,$799.00,https://www.ikea.com/PIAimages/0670408_PE715515_S5.JPG?f=s,"35 ""","92 1/2 ""","5 1/8 """,IKEA,https://www.ikea.com/us/en/p/lindome-sofa-djuparp-dark-gray-50398620/
20,EKEBOL,$399.00,https://www.ikea.com/PIAimages/0498483_PE629632_S5.JPG?f=s,"36 1/4 ""","70 7/8 ""","4 3/4 """,IKEA,https://www.ikea.com/us/en/p/ekebol-sofa-katorp-natural-50366978/
21,FÄRLÖV,$899.00,https://www.ikea.com/PIAimages/0479738_PE619085_S5.JPG?f=s,"41 3/4 ""","85 7/8 ""","5 7/8 """,IKEA,https://www.ikea.com/us/en/p/faerloev-sofa-djuparp-dark-gray-s89192656/
22,GRÖNLID,$499.00,https://www.ikea.com/PIAimages/0577220_PE668688_S5.JPG?f=s,"38 5/8 ""","97 1/4 ""","41 """,IKEA,https://www.ikea.com/us/en/p/groenlid-sofa-inseros-white-s89254791/
23,GRÖNLID,$695.00,https://www.ikea.com/PIAimages/0577221_PE668689_S5.JPG?f=s,"64 5/8 ""","87 3/8 ""","41 """,IKEA,https://www.ikea.com/us/en/p/groenlid-sofa-with-chaise-inseros-white-s59254797/
24,SANDBACKEN,$309.00,https://www.ikea.com/PIAimages/0524888_PE644615_S5.JPG?f=s,"30 3/4 ""","83 1/2 ""","27 1/8 """,IKEA,https://www.ikea.com/us/en/p/sandbacken-sofa-frillestad-light-gray-s29217792/
25,FRIHETEN,$499.00,https://www.ikea.com/PIAimages/0690280_PE723200_S5.JPG?f=s,"41 3/8 ""","88 5/8 ""","41 3/8 """,IKEA,https://www.ikea.com/us/en/p/friheten-sleeper-sofa-skiftebo-blue-40431564/
26,FLOTTEBO,$599.00,https://www.ikea.com/PIAimages/0713783_PE729758_S5.JPG?f=s,"47 1/4 ""","78 3/4 ""","47 1/4 """,IKEA,https://www.ikea.com/us/en/p/flottebo-sleeper-sofa-gunnared-medium-gray-s39297463/
27,HEMNES,$629.00,https://www.ikea.com/PIAimages/0580316_PE670123_S5.JPG?f=s,"78 3/4 ""","76 3/8 ""","35 7/8 """,IKEA,https://www.ikea.com/us/en/p/hemnes-daybed-with-2-drawers-2-mattresses-gray-stained-meistervik-s09239653/
28,BUSKBO,$160.00,https://www.ikea.com/PIAimages/0700959_PE723853_S5.JPG?f=s,"24 3/4 ""","28 3/8 ""","4 3/4 """,IKEA,https://www.ikea.com/us/en/p/buskbo-armchair-rattan-djupvik-white-s69299012/
29,FLOTTEBO,$529.00,https://www.ikea.com/PIAimages/0713821_PE729790_S5.JPG?f=s,"47 1/4 ""","78 3/4 ""","47 1/4 """,IKEA,https://www.ikea.com/us/en/p/flottebo-sleeper-sofa-with-side-table-vissle-purple-s89297446/
30,VÄRMER,$99.00,https://www.ikea.com/PIAimages/0732731_PE738816_S5.JPG?f=s,"22 1/2 ""","30 3/4 ""","26 3/8 """,IKEA,https://www.ikea.com/us/en/p/vaermer-chair-black-80440646/
31,NYHAMN,$349.00,https://www.ikea.com/PIAimages/0690151_PE723156_S5.JPG?f=s,"38 1/4 ""","78 3/4 ""","38 1/4 """,IKEA,https://www.ikea.com/us/en/p/nyhamn-sleeper-sofa-with-pocket-spring-mattress-hyllie-beige-s39297585/
