ID,Brand,Price,Image,Length,Width,Height,Seller,ProductLink
3,INGATORP,$99.00 ,https://www.ikea.com/PIAimages/0737121_PE740894_S5.JPG?f=s,"48 3/8 ""","30 3/4 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/ingatorp-drop-leaf-table-black-brown-40423106/
6,INGATORP,$99.00 ,https://www.ikea.com/PIAimages/0737122_PE740895_S5.JPG?f=s,"48 3/8 ""","30 3/4 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/ingatorp-drop-leaf-table-white-00423108/
1,EKEDALEN,$119.00 ,https://www.ikea.com/PIAimages/0736972_PE740836_S5.JPG?f=s,"47 1/4 ""","27 1/2 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/ekedalen-extendable-table-brown-80340835/
5,EKEDALEN,$119.00 ,https://www.ikea.com/PIAimages/0736973_PE740837_S5.JPG?f=s,"47 1/4 ""","27 1/2 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/ekedalen-extendable-table-dark-brown-20340824/
7,EKEDALEN,$119.00 ,https://www.ikea.com/PIAimages/0736975_PE740821_S5.JPG?f=s,"47 1/4 ""","27 1/2 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/ekedalen-extendable-table-white-70340826/
2,EKEDALEN,$183.00 ,https://www.ikea.com/PIAimages/0736962_PE740826_S5.JPG?f=s,"70 7/8 ""","31 1/2 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/ekedalen-extendable-table-brown-30340809/
16,EKEDALEN,$183.00 ,https://www.ikea.com/PIAimages/0736963_PE740827_S5.JPG?f=s,"70 7/8 ""","31 1/2 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/ekedalen-extendable-table-dark-brown-40340804/
17,EKEDALEN,$183.00 ,https://www.ikea.com/PIAimages/0736965_PE740829_S5.JPG?f=s,"70 7/8 ""","31 1/2 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/ekedalen-extendable-table-white-70340807/
10,EKEDALEN,$199.00 ,https://www.ikea.com/PIAimages/0657862_PE709998_S5.JPG?f=s,"47 1/4 ""","31 1/2 ""","41 3/8 """,IKEA,https://www.ikea.com/us/en/p/ekedalen-bar-table-brown-40400529/
12,EKEDALEN,$239.00 ,https://www.ikea.com/PIAimages/0736970_PE740834_S5.JPG?f=s,"94 1/2 ""","35 3/8 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/ekedalen-extendable-table-white-70340765/
13,EKEDALEN,$239.00 ,https://www.ikea.com/PIAimages/0736968_PE740832_S5.JPG?f=s,"94 1/2 ""","35 3/8 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/ekedalen-extendable-table-dark-brown-20340758/
18,EKEDALEN,$239.00 ,https://www.ikea.com/PIAimages/0736967_PE740831_S5.JPG?f=s,"94 1/2 ""","35 3/8 ""","29 1/2 """,IKEA,https://www.ikea.com/us/en/p/ekedalen-extendable-table-brown-90340769/
14,INGATORP,$259.00 ,https://www.ikea.com/PIAimages/0737090_PE740880_S5.JPG?f=s,"84 5/8 ""","34 1/4 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/ingatorp-extendable-table-black-90222407/
15,INGATORP,$259.00 ,https://www.ikea.com/PIAimages/0737091_PE740881_S5.JPG?f=s,"84 5/8 ""","34 1/4 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/ingatorp-extendable-table-white-70221423/
9,INGATORP / INGOLF,$415.00 ,https://www.ikea.com/PIAimages/0737939_PE741265_S5.JPG?f=s,"84 5/8 ""","34 1/4 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/ingatorp-ingolf-table-and-4-chairs-white-s29917307/
0,INGATORP / INGOLF,$547.00 ,https://www.ikea.com/PIAimages/0737940_PE741266_S5.JPG?f=s,"61 ""","34 1/4 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/ingatorp-ingolf-table-and-4-chairs-black-nolhaga-gray-beige-s99254173/
4,INGATORP / INGOLF,$547.00 ,https://www.ikea.com/PIAimages/0737941_PE741273_S5.JPG?f=s,"61 ""","34 1/4 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/ingatorp-ingolf-table-and-4-chairs-white-nordvalla-beige-s79254169/
19,INGATORP / INGOLF,$605.00 ,https://www.ikea.com/PIAimages/0737626_PE741189_S5.JPG?f=s,"84 5/8 ""","34 1/4 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/ingatorp-ingolf-table-and-6-chairs-white-nordvalla-beige-s89280686/
8,INGATORP / INGATORP,$659.00 ,https://www.ikea.com/PIAimages/0737791_PE741257_S5.JPG?f=s,"61 ""","34 1/4 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/ingatorp-ingatorp-table-and-4-chairs-black-s29252200/
11,INGATORP / INGATORP,$659.00 ,https://www.ikea.com/PIAimages/0737792_PE741258_S5.JPG?f=s,"61 ""","34 1/4 ""","29 1/8 """,IKEA,https://www.ikea.com/us/en/p/ingatorp-ingatorp-table-and-4-chairs-white-s19252205/
